iteration,epoch,train_loss,valid_loss,accuracy,norm_ED,best_accuracy,best_norm_ED,elapsed_time,learning_rate
100,0,3.77885,2.34110,0.485,0.4651,-1.000,-1.0000,44.93,0.001000
200,0,1.53475,1.78267,1.376,0.5563,0.485,0.4651,365.82,0.001000
300,0,1.00322,1.58394,4.944,0.6263,1.376,0.5563,682.68,0.001000
400,0,0.67928,0.71021,26.945,0.8232,4.944,0.6263,998.57,0.001000
500,0,0.52592,0.60789,34.616,0.8523,26.945,0.8232,1317.80,0.001000
600,0,0.47303,0.46199,43.332,0.8806,34.616,0.8523,1636.64,0.001000
700,0,0.39036,0.46241,46.296,0.8868,43.332,0.8806,1953.32,0.001000
800,0,0.40913,0.38302,53.111,0.9054,46.296,0.8868,2271.56,0.001000
900,0,0.31046,0.37192,54.032,0.9078,53.111,0.9054,2590.19,0.001000
1000,1,0.30922,0.29374,62.530,0.9293,54.032,0.9078,2908.87,0.001000
1100,1,0.29176,0.31101,60.714,0.9229,62.530,0.9293,3228.46,0.001000
1200,1,0.29314,0.43154,44.236,0.8860,62.530,0.9293,3546.83,0.001000
1300,1,0.30302,0.25452,64.333,0.9354,62.530,0.9293,3865.22,0.001000
1400,1,0.25265,0.22908,69.124,0.9429,64.333,0.9354,4186.27,0.001000
1500,1,0.23046,0.28525,61.490,0.9279,69.124,0.9429,4506.09,0.001000
1600,1,0.26903,0.24356,67.376,0.9394,69.124,0.9429,4823.88,0.001000
1700,1,0.24870,0.25688,64.425,0.9324,69.124,0.9429,5141.29,0.001000
1800,1,0.23632,0.23036,68.843,0.9436,69.124,0.9429,5456.52,0.001000
1900,1,0.19688,0.21462,69.944,0.9463,69.124,0.9436,5774.23,0.001000
2000,2,0.20163,0.30174,61.738,0.9256,69.944,0.9463,6091.90,0.001000
2100,2,0.21680,0.20555,71.564,0.9489,69.944,0.9463,6406.78,0.001000
2200,2,0.23717,0.25541,67.505,0.9358,71.564,0.9489,6724.97,0.001000
2300,2,0.21644,0.25998,63.154,0.9321,71.564,0.9489,7044.05,0.001000
2400,2,0.19249,0.16919,76.471,0.9572,71.564,0.9489,7361.37,0.001000
2500,2,0.18639,0.18388,75.139,0.9537,76.471,0.9572,7679.96,0.001000
2600,2,0.14605,0.15438,77.860,0.9611,76.471,0.9572,8000.53,0.001000
2700,2,0.14559,0.16958,76.362,0.9569,77.860,0.9611,8317.78,0.001000
2800,2,0.14739,0.17132,76.240,0.9558,77.860,0.9611,8634.84,0.001000
2900,2,0.15715,0.16720,77.372,0.9586,77.860,0.9611,8951.95,0.001000
3000,3,0.17029,0.17591,73.492,0.9540,77.860,0.9611,9268.73,0.001000
3100,3,0.21132,0.23360,68.294,0.9401,77.860,0.9611,9585.38,0.001000
3200,3,0.16641,0.15631,77.138,0.9601,77.860,0.9611,9903.07,0.001000
3300,3,0.14885,0.15822,77.284,0.9596,77.860,0.9611,10220.12,0.001000
3400,3,0.15312,0.16255,77.253,0.9591,77.860,0.9611,10536.48,0.001000
3500,3,0.15415,0.16490,77.680,0.9596,77.860,0.9611,10852.74,0.001000
3600,3,0.14903,0.24565,65.462,0.9373,77.860,0.9611,11169.48,0.001000
3700,3,0.15029,0.14958,78.527,0.9618,77.860,0.9611,11487.00,0.001000
3800,3,0.14844,0.14683,78.155,0.9622,78.527,0.9618,11804.48,0.001000
3900,3,0.12935,0.13128,80.957,0.9656,78.527,0.9622,12123.51,0.001000
4000,4,0.13194,0.13091,80.174,0.9663,80.957,0.9656,12440.82,0.001000
4100,4,0.11456,0.11588,82.793,0.9695,80.957,0.9663,12758.26,0.001000
4200,4,0.12226,0.13301,79.686,0.9653,82.793,0.9695,13076.40,0.001000
4300,4,0.12061,0.13257,80.604,0.9658,82.793,0.9695,13393.32,0.001000
4400,4,0.12993,0.14349,78.477,0.9618,82.793,0.9695,13711.78,0.001000
4500,4,0.12797,0.13993,80.093,0.9640,82.793,0.9695,14028.97,0.001000
4600,4,0.13975,0.14726,77.724,0.9612,82.793,0.9695,14346.29,0.001000
4700,4,0.12971,0.13008,79.740,0.9666,82.793,0.9695,14662.21,0.001000
4800,4,0.12524,0.12198,82.495,0.9692,82.793,0.9695,14979.79,0.001000
4900,4,0.10516,0.10808,83.800,0.9722,82.793,0.9695,15298.23,0.001000
5000,5,0.10123,0.11662,82.821,0.9707,83.800,0.9722,15617.21,0.001000
5100,5,0.11158,0.15164,78.372,0.9605,83.800,0.9722,15936.69,0.001000
5200,5,0.12504,0.12319,82.638,0.9704,83.800,0.9722,16256.19,0.001000
5300,5,0.11492,0.11930,82.299,0.9694,83.800,0.9722,16574.92,0.001000
5400,5,0.09923,0.12485,80.781,0.9677,83.800,0.9722,16892.97,0.001000
5500,5,0.11668,0.10995,83.210,0.9708,83.800,0.9722,17211.75,0.001000
5600,5,0.10460,0.13249,78.426,0.9644,83.800,0.9722,17531.04,0.001000
